index,Age 0 Population,Age 1 Population,Age 2 Population,Age 3 Population,Age 4 Population,Age 5 Population,Age 6 Population,Age 7 Population,Age 8 Population,Age 9 Population,Age 10 Population,Age 11 Population,Age 12 Population,Age 13 Population,Age 14 Population,Age 15 Population,Age 16 Population,Age 17 Population,Age 18 Population,Age 19 Population,Age 20 Population,Age 21 Population,Age 22 Population,Age 23 Population,Age 24 Population,Age 25 Population,Age 26 Population,Age 27 Population,Age 28 Population,Age 29 Population,Age 30 Population,Age 31 Population,Age 32 Population,Age 33 Population,Age 34 Population,Age 35 Population,Age 36 Population,Age 37 Population,Age 38 Population,Age 39 Population,Age 40 Population,Age 41 Population,Age 42 Population,Age 43 Population,Age 44 Population,Age 45 Population,Age 46 Population,Age 47 Population,Age 48 Population,Age 49 Population,Age 50 Population,Age 51 Population,Age 52 Population,Age 53 Population,Age 54 Population,Age 55 Population,Age 56 Population,Age 57 Population,Age 58 Population,Age 59 Population,Age 60 Population,Age 61 Population,Age 62 Population,Age 63 Population,Age 64 Population,Age 65 Population,Age 66 Population,Age 67 Population,Age 68 Population,Age 69 Population,Age 70 Population,Age 71 Population,Age 72 Population,Age 73 Population,Age 74 Population,Age 75 Population,Age 76 Population,Age 77 Population,Age 78 Population,Age 79 Population,Age 80 Population,Age 81 Population,Age 82 Population,Age 83 Population,Age 84 Population,Age 85 Population,Age 86 Population,Age 87 Population,Age 88 Population,Age 89 Population,Age 90 Population,Age 91 Population,Age 92 Population,Age 93 Population,Age 94 Population,Age 95 Population,Age 96 Population,Age 97 Population,Age 98 Population,Age 99 Population,Age 100 Population,Country Code,Sex,iso3,Year
34,343.7021,341.655,341.3698,342.3255,344.1168,339.3053,343.0972,346.8986,350.3318,353.1351,350.2881,351.1439,350.97,349.7914,347.5684,351.33,346.7287,341.0174,334.4771,327.8948,327.1222,323.7927,323.4152,326.1104,330.4464,340.2442,340.6201,335.3217,323.1758,305.6743,316.7619,293.165,271.2072,252.4365,236.9474,257.9596,246.7989,237.9843,230.8638,224.9884,233.6678,228.7608,223.9293,218.8821,213.675,214.8884,209.7111,204.9171,200.6097,196.5317,202.6841,197.867,192.3529,185.9799,178.9291,176.8361,171.1353,165.3593,159.645,154.0032,148.405,142.8613,137.3479,131.8676,126.4652,121.0135,115.9132,111.0143,106.3267,101.7822,97.5825,93.10113,88.57901,83.96624,79.18812,74.33226,69.06334,63.53935,57.80777,51.98128,45.60804,40.02755,34.69147,29.6872,25.10075,20.54079,16.99538,13.92732,11.30408,9.056435,6.927694,5.339963,4.011958,2.930403,2.089981,1.360581,0.9417884,0.6480125,0.4454423,0.3061759,0.34,ARG,male,male,2005
35,349.3608,347.4471,346.0302,344.5875,343.1512,335.3508,333.9264,333.3297,333.7233,335.1628,335.8718,339.1999,343.1683,347.4772,351.6319,346.1207,348.228,348.7726,347.5404,344.6723,348.5349,342.9337,336.4803,329.6424,323.1147,322.3874,319.3692,319.2309,322.0032,326.2834,335.9135,336.1625,330.8112,318.7368,301.4069,312.2705,288.9335,267.1996,248.5883,233.197,253.6947,242.5323,233.6775,226.4888,220.5166,228.8145,223.7392,218.7085,213.4337,207.9711,208.7138,203.2109,198.0533,193.3397,188.8183,194.0558,188.7298,182.7123,175.8598,168.3542,165.4794,159.1921,152.8184,146.4878,140.2103,133.9472,127.7376,121.5498,115.3923,109.309,103.1651,97.37379,91.77519,86.37954,81.13542,76.1318,71.03797,65.98267,60.94483,55.88174,50.68512,45.54153,40.39186,35.30819,30.4133,25.23745,21.11805,17.42142,14.16611,11.33797,8.594885,6.628925,5.0054,3.697771,2.682017,1.81538,1.286867,0.9080545,0.6402487,0.4514497,0.545,ARG,male,male,2010
36,35.10683,35.46806,35.68814,36.12514,36.1663,38.28551,37.60862,36.66144,35.47923,34.0982,35.26921,33.42987,31.45467,29.40146,27.43179,29.27791,27.6322,26.41403,25.67479,25.39906,25.80837,26.57355,27.90701,29.78161,32.08046,31.59297,33.76086,35.48714,36.47208,36.59696,37.89338,36.36901,34.24802,31.72735,29.02723,32.15305,28.95295,25.96632,23.2211,20.63859,21.5357,19.77923,17.86652,15.8706,14.08994,11.89863,11.21436,11.22664,12.07751,13.64485,17.78036,20.14732,21.80294,22.03793,21.12744,17.95655,16.67921,15.82651,15.61254,15.83419,17.39409,17.64742,17.4213,16.50308,15.0591,12.62645,10.96013,9.395119,8.022572,6.895739,5.8871,5.296199,4.954247,4.847226,4.891227,5.401356,5.477311,5.411911,5.13745,4.711973,4.007157,3.54078,3.119847,2.761011,2.439205,2.15339,1.842919,1.53047,1.225335,0.950886,0.6667652,0.498349,0.3701198,0.2750367,0.2047294,0.1526425,0.1138304,0.0849153,0.0633508,0.047261,0.106,ARM,female,female,1990
37,20.38286,19.79597,19.26172,18.80253,18.52534,15.48637,16.23996,17.48316,19.29386,21.72765,19.51633,22.4486,25.84835,29.64507,33.61366,28.70818,31.12427,32.74073,33.32571,32.97312,32.04895,30.56646,28.92965,27.33716,25.80278,27.29452,25.603,23.88515,22.15114,20.5052,21.31988,19.92997,18.83812,18.07479,17.65724,17.71148,18.16742,19.16652,20.75327,22.8463,23.37801,25.60604,27.46988,28.60911,28.91196,29.87999,28.69691,27.03312,25.07976,22.98421,25.54892,22.95942,20.46781,18.10549,15.85537,16.12645,14.54379,12.90669,11.28699,9.905073,8.270702,7.815998,7.926437,8.731742,10.15412,14.01086,16.16344,17.52265,17.37764,16.09141,12.68477,11.28408,10.32827,9.951982,9.94891,11.05221,11.06468,10.69183,9.791627,8.535655,6.569613,5.34916,4.273787,3.384584,2.684854,2.122673,1.74337,1.480105,1.305786,1.178065,1.143686,1.012446,0.8598658,0.6897606,0.526242,0.3404433,0.2439473,0.1726222,0.1219063,0.0860809,0.141,ARM,female,female,2005
38,21.82772,21.63409,21.38798,21.07011,20.68786,21.26343,19.90951,18.69452,17.70846,17.04308,15.47894,15.89716,17.05178,19.07822,22.03089,18.76009,22.12555,25.8251,29.52575,32.94753,28.85157,30.56383,31.59419,31.92766,31.63074,30.53377,29.36246,27.97683,26.50526,24.99467,26.38856,24.66138,22.9374,21.24595,19.67471,20.49433,19.19914,18.18869,17.48719,17.11366,17.19145,17.66179,18.66317,20.24286,22.32273,22.89082,25.10588,26.95887,28.08991,28.38751,29.31964,28.1392,26.48257,24.54045,22.45814,24.91354,22.34141,19.86652,17.52111,15.29141,15.48436,13.90859,12.29112,10.70159,9.347332,7.78488,7.313928,7.367528,8.053765,9.284901,12.68427,14.48271,15.52878,15.22138,13.92085,10.80625,9.476422,8.540173,8.091211,7.935938,8.627006,8.415609,7.886741,6.96832,5.837325,4.221216,3.292527,2.522171,1.91789,1.457196,1.099432,0.8479385,0.6643578,0.5308208,0.4314504,0.369302,0.3066139,0.2556837,0.2133618,0.1780386,0.197,ARM,female,female,2010
39,37.14161,37.45982,37.67708,38.1781,38.21804,39.92082,38.87271,37.60115,36.16859,34.62772,35.83057,34.04305,32.23396,30.44162,28.74681,31.30302,29.77091,28.49755,27.51423,26.8543,26.61868,26.85512,27.62939,28.93758,30.67124,29.69021,31.4342,32.87553,33.76823,33.96983,35.55073,34.2447,32.2983,29.87095,27.21033,29.81013,26.67669,23.79328,21.19476,18.78714,19.61368,17.98018,16.20336,14.34719,12.69058,10.66101,10.01821,10.01167,10.76915,12.18296,15.9313,18.11165,19.67447,19.96543,19.21214,16.42506,15.28814,14.51551,14.29796,14.42433,15.73853,15.67049,15.0355,13.69304,11.90244,9.173202,7.501528,6.04663,4.858485,3.944156,3.219155,2.781697,2.532442,2.448268,2.47244,2.809662,2.894104,2.91075,2.809493,2.611991,2.249679,1.992804,1.746255,1.523733,1.320528,1.124383,0.947302,0.7811683,0.6282851,0.4938613,0.3598,0.2728793,0.2043123,0.1515004,0.111508,0.0796366,0.0580542,0.042239,0.0307238,0.0223464,0.038,ARM,male,male,1990
40,23.72446,23.10463,22.52308,21.98607,21.59673,18.62437,19.13409,20.09877,21.59387,23.6639,21.64939,24.32993,27.4508,30.9315,34.54439,29.56614,31.70698,33.04649,33.36392,32.73246,31.3987,29.52542,27.4136,25.26853,23.18975,23.58077,21.58143,19.77407,18.17177,16.77996,17.71212,16.57985,15.64615,14.90941,14.40546,14.1718,14.34516,14.96278,16.07495,17.6223,18.00243,19.76831,21.32533,22.39126,22.84066,23.99354,23.20284,21.9276,20.31303,18.52399,20.30185,18.1317,16.0988,14.23134,12.47632,12.78074,11.50344,10.13848,8.75034,7.546997,6.132101,5.697672,5.707357,6.252261,7.27261,10.13733,11.77493,12.86206,12.842,11.95069,9.481408,8.425491,7.670913,7.314584,7.190604,7.776816,7.531066,6.968631,6.045408,4.946081,3.404814,2.570359,1.898414,1.389101,1.021312,0.7618942,0.5906178,0.4804598,0.4133146,0.3687135,0.3685762,0.3267735,0.277613,0.2216174,0.1674199,0.1053393,0.0742787,0.0516595,0.0358478,0.0248746,0.036,ARM,male,male,2005
41,24.94513,24.77691,24.56993,24.29229,23.94401,24.7146,23.31715,22.01884,20.90921,20.0842,18.58276,18.77977,19.67065,21.36308,23.87074,20.84601,23.85636,27.13831,30.39525,33.37507,29.05889,30.45403,31.16902,31.17289,30.51517,28.9881,27.35708,25.45648,23.4329,21.41444,21.65561,19.70483,17.97352,16.48195,15.2201,16.11186,15.12391,14.32032,13.69418,13.27972,13.10799,13.32345,13.95984,15.07063,16.60309,17.06871,18.81776,20.36004,21.41313,21.85236,22.92695,22.1383,20.87553,19.28467,17.52654,19.11235,16.98695,14.99723,13.17137,11.46309,11.63299,10.38176,9.068705,7.754966,6.624583,5.348027,4.917506,4.872184,5.276407,6.063877,8.347628,9.567721,10.3059,10.13922,9.289532,7.226238,6.308388,5.634575,5.262491,5.053309,5.30244,4.970726,4.424469,3.666365,2.849999,1.802554,1.287581,0.9009453,0.6259353,0.4359843,0.3074276,0.2209718,0.163483,0.1252371,0.0988805,0.0860729,0.0705607,0.0582871,0.0482089,0.0398704,0.04,ARM,male,male,2010
42,0.5768383,0.5735326,0.5768343,0.5828896,0.5900056,0.6313081,0.6719275,0.6982473,0.7047173,0.6952321,0.6041107,0.596545,0.5999729,0.6202826,0.656314,0.5626313,0.6031738,0.641416,0.6704034,0.689552,0.6177965,0.617798,0.6132568,0.6065252,0.5967442,0.613904,0.5949227,0.5709126,0.5413913,0.5103036,0.4857793,0.4578101,0.4349459,0.4171859,0.4029149,0.4066509,0.3943353,0.3812948,0.3672198,0.351512,0.3475673,0.3366831,0.3262267,0.3164088,0.3071911,0.2987561,0.2904972,0.2826145,0.2750159,0.2675064,0.2605641,0.25262,0.2442252,0.2353414,0.2263209,0.21622,0.2080741,0.2007919,0.1944887,0.1888412,0.1848057,0.1792056,0.1731387,0.1664498,0.1594098,0.1512473,0.1445531,0.1383979,0.1329107,0.1278835,0.1239085,0.1191171,0.1141867,0.1089784,0.1034707,0.097625,0.0915044,0.085108,0.0785244,0.0718812,0.0477524,0.0431241,0.0387201,0.0345845,0.0307563,0.0272413,0.0240512,0.0211811,0.0186141,0.0163407,0.0143339,0.0125727,0.0110293,0.0096728,0.0084841,0.007442,0.0065272,0.0057254,0.0050221,0.0044046,0.0038636,ATG,female,female,1990
43,0.7744925,0.772276,0.7705541,0.7660515,0.7582003,0.7879645,0.7699186,0.7493739,0.7277224,0.7053896,0.7999857,0.7744051,0.7504305,0.729963,0.7141269,0.748234,0.7398332,0.7361308,0.734397,0.7330532,0.6982784,0.6921895,0.6811987,0.6667815,0.6507443,0.5814053,0.5790421,0.5870665,0.6083111,0.6418311,0.5433496,0.5787694,0.6124242,0.6389403,0.6577611,0.5927565,0.5947121,0.5921324,0.5868138,0.5780139,0.5943098,0.5762466,0.5534337,0.5255126,0.4961649,0.4736356,0.447033,0.4251181,0.4078583,0.3937697,0.3967773,0.3844341,0.3714398,0.3575366,0.3420535,0.3383182,0.3272156,0.3162465,0.3055631,0.295155,0.2850857,0.2751158,0.2653181,0.2556497,0.2460178,0.236603,0.2267682,0.2167418,0.2065259,0.1962946,0.1856028,0.1758972,0.1666373,0.1578665,0.1494008,0.1415903,0.1331529,0.1245607,0.1157831,0.1069635,0.0765655,0.0699742,0.0636543,0.0576677,0.0520567,0.0468475,0.0420509,0.0376682,0.0336896,0.0301011,0.026881,0.0240032,0.0214327,0.0191382,0.0170894,0.0152596,0.0136262,0.0121671,0.0108646,0.0097012,0.0086626,ATG,female,female,2005
44,0.749823,0.7541945,0.7594677,0.764107,0.7681208,0.7537062,0.7481376,0.7428678,0.7398928,0.7364076,0.7870491,0.7776192,0.7630776,0.7433827,0.7198315,0.8083588,0.7787251,0.7512438,0.7286056,0.711616,0.7465475,0.7374908,0.7327353,0.7292534,0.7257311,0.6877939,0.6800246,0.6681647,0.6538733,0.6385953,0.5724839,0.570561,0.578341,0.5983682,0.6300094,0.530346,0.5646392,0.5985067,0.6272331,0.6497304,0.5928236,0.5979329,0.5969193,0.5909988,0.5800835,0.5902368,0.5698858,0.5460551,0.5188238,0.4911878,0.4729087,0.4477448,0.4263943,0.4085832,0.3931669,0.3929304,0.378912,0.3646171,0.350009,0.3342698,0.3309336,0.3196285,0.3082812,0.2969212,0.2855697,0.2741585,0.2628758,0.2516514,0.2404944,0.2293944,0.2183387,0.2073022,0.196293,0.185324,0.1744058,0.1633722,0.152648,0.1420651,0.1316691,0.1215604,0.0902857,0.0827869,0.075689,0.0690208,0.0627948,0.0570206,0.0516934,0.0468023,0.0423347,0.038266,0.0345782,0.0312438,0.0282306,0.0255093,0.0230495,0.0208268,0.0188187,0.017004,0.0153641,0.0138835,0.0125445,ATG,female,female,2010
45,0.5920003,0.588141,0.5913522,0.5973427,0.6042772,0.6502941,0.6944599,0.7242193,0.730925,0.7198903,0.6225634,0.6123691,0.6141302,0.6330135,0.6677064,0.571523,0.6107812,0.6475133,0.6747913,0.6913647,0.6177036,0.6160728,0.6092952,0.600337,0.588424,0.6027319,0.5814039,0.5554731,0.5251495,0.4931361,0.4682679,0.441063,0.4186094,0.4013891,0.3877254,0.3915234,0.3797634,0.3671525,0.3533337,0.3378956,0.3329141,0.3222817,0.3124014,0.3035327,0.2954936,0.2889291,0.2817908,0.2747879,0.2677348,0.2604871,0.2533355,0.2453278,0.2368093,0.2277971,0.2186644,0.2084241,0.200223,0.1929153,0.1866202,0.1810355,0.1770713,0.1717171,0.1660176,0.159809,0.1532661,0.1458654,0.1393994,0.1332392,0.1274829,0.1219865,0.1171231,0.1117039,0.1061675,0.1004327,0.0945063,0.088271,0.0820071,0.0756181,0.0691901,0.0628306,0.0403401,0.0361587,0.0322316,0.028587,0.025249,0.0222138,0.0194839,0.0170482,0.0148864,0.0129857,0.0113191,0.0098659,0.0086003,0.007495,0.0065326,0.0056942,0.0049627,0.0043258,0.0037705,0.003286,0.0028643,ATG,male,male,1990
